id,patient_id,ccnum,cctype,ccexpmonth,ccexpyear,address1,address2,city,state,zip,created_at,updated_at
1,1,337941246235609,americanexpress,6,2024,91415 Hoepker Alley, ,Las Vegas,NV,89193,2018-05-10 04:36:52,2017-10-19 06:50:32
2,2,3537047451249541,jcb,3,2020,82065 Del Mar Pass, ,Hampton,VA,23663,2018-02-10 02:55:35,2018-04-21 01:02:34
3,3,3542470937686495,jcb,12,2029,2632 Forster Parkway, ,Decatur,IL,62525,2018-03-28 10:44:02,2018-08-13 18:48:59
4,4,5100170326016002,mastercard,2,2023,3654 Vernon Alley, ,Bozeman,MT,59771,2017-11-20 14:42:02,2018-04-03 05:10:02
5,5,67712918251221595,laser,3,2028,562 Rigney Terrace, ,Portland,OR,97286,2018-07-26 10:38:01,2017-06-06 08:08:17
6,6,5602248234465571078,china-unionpay,9,2030,3377 Clove Alley, ,Buffalo,NY,14210,2018-04-08 09:31:10,2018-01-27 22:49:27
7,7,633386522536201937,switch,12,2027,37 Sutteridge Circle, ,Pittsburgh,PA,15266,2017-08-06 15:39:01,2017-09-25 19:35:50
8,8,374283028259356,americanexpress,12,2021,8 Jana Alley, ,Sacramento,CA,95833,2018-05-30 08:51:48,2018-07-14 20:04:26
9,9,3543592775351822,jcb,4,2023,76 Dexter Court, ,Sterling,VA,20167,2017-11-05 15:39:29,2017-11-08 21:30:27
10,10,3570756660173684,jcb,12,2022,67 American Way, ,Oklahoma City,OK,73173,2018-05-17 19:57:30,2018-08-16 20:07:57
11,11,3556430150669696,jcb,6,2024,1 Troy Court, ,Brooklyn,NY,11210,2018-02-12 18:00:48,2018-06-06 02:27:57
12,12,676285956780130270,maestro,10,2030,75 Brentwood Plaza, ,Lansing,MI,48912,2018-02-19 14:24:34,2017-12-28 16:31:22
13,13,30493196896063,diners-club-carte-blanche,4,2030,38057 Veith Point, ,Richmond,VA,23289,2018-07-04 13:33:23,2017-12-28 09:17:48
14,14,6762237346191843029,maestro,4,2027,43 Harper Circle, ,Saint Louis,MO,63196,2018-02-27 14:55:03,2017-08-01 01:13:24
15,15,201471387542756,diners-club-enroute,3,2026,5 Clemons Parkway, ,Colorado Springs,CO,80935,2017-06-12 13:54:09,2017-07-23 02:30:02
16,16,3573008498256647,jcb,7,2020,652 Eagan Park, ,Lynchburg,VA,24515,2017-09-02 23:35:42,2018-01-09 01:50:20
17,17,3555899463622884,jcb,7,2025,9 Buhler Terrace, ,Aiken,SC,29805,2018-05-15 14:27:13,2018-03-03 07:23:16
18,18,5382379260122424,mastercard,7,2030,93919 Park Meadow Center, ,Albuquerque,NM,87180,2017-08-25 01:40:42,2017-11-27 00:11:36
19,19,3550265554554326,jcb,2,2027,65 Declaration Drive, ,New York City,NY,10160,2017-07-10 19:12:15,2017-12-27 18:03:04
20,20,3556640691346733,jcb,11,2022,642 Schmedeman Park, ,New York City,NY,10155,2017-10-01 06:10:49,2018-07-02 14:04:40
21,21,36690949614776,diners-club-international,10,2020,4 Schlimgen Drive, ,Portland,OR,97296,2017-06-09 16:35:10,2018-01-08 19:22:34
22,22,0604611002323596912,maestro,10,2027,07 Cascade Place, ,Philadelphia,PA,19178,2018-09-01 08:49:13,2017-06-03 13:33:13
23,23,5602246912977089,bankcard,10,2029,9663 Havey Park, ,San Francisco,CA,94169,2018-08-25 18:27:08,2017-07-29 04:21:09
24,24,3556016677208868,jcb,1,2022,06 Valley Edge Place, ,Seattle,WA,98121,2018-05-11 08:14:18,2018-08-03 03:41:35
25,25,5434715982350223,mastercard,10,2030,7 Marcy Point, ,Salt Lake City,UT,84170,2017-12-16 00:13:22,2018-05-14 21:16:55
26,26,30070874623058,diners-club-carte-blanche,4,2022,3697 Mallory Court, ,Columbia,SC,29208,2018-01-03 11:17:37,2018-09-03 21:19:32
27,27,3577031005554227,jcb,5,2027,372 Hooker Place, ,Charlotte,NC,28247,2018-06-30 12:30:49,2018-06-16 14:58:50
28,28,3534126530290263,jcb,3,2024,3976 Hallows Point, ,Columbus,OH,43215,2018-04-03 23:33:39,2018-03-19 20:34:15
29,29,67614334391217460,maestro,10,2020,63 Lighthouse Bay Park, ,Minneapolis,MN,55446,2018-03-07 21:31:57,2018-01-08 01:45:08
30,30,4017951994554761,visa,11,2020,78 Myrtle Alley, ,Prescott,AZ,86305,2018-02-08 19:31:49,2017-07-07 22:14:20
31,31,3583598596430217,jcb,1,2023,19991 Rigney Avenue, ,Birmingham,AL,35285,2017-12-10 01:58:57,2018-08-31 06:58:17
32,32,5100170948376016,mastercard,3,2029,7 Holmberg Street, ,Corpus Christi,TX,78470,2018-04-13 01:00:53,2018-08-10 13:50:21
33,33,5469581178614857,diners-club-us-ca,8,2024,51 International Avenue, ,Modesto,CA,95354,2018-08-30 22:46:44,2018-01-17 05:04:58
