id,patient_id,ccnum,cctype,ccexpmonth,ccexpyear,address1,address2,city,state,zip
1,1,3.38E+14,americanexpress,6,2024,91415 Hoepker Alley, ,Las Vegas,NV,89193
2,2,3.54E+15,jcb,3,2020,82065 Del Mar Pass, ,Hampton,VA,23663
3,3,3.54E+15,jcb,12,2029,2632 Forster Parkway, ,Decatur,IL,62525
4,4,5.10E+15,mastercard,2,2023,3654 Vernon Alley, ,Bozeman,MT,59771
5,5,6.77E+16,laser,3,2028,562 Rigney Terrace, ,Portland,OR,97286
6,6,5.60E+18,china-unionpay,9,2030,3377 Clove Alley, ,Buffalo,NY,14210
7,7,6.33E+17,switch,12,2027,37 Sutteridge Circle, ,Pittsburgh,PA,15266
8,8,3.74E+14,americanexpress,12,2021,8 Jana Alley, ,Sacramento,CA,95833
9,9,3.54E+15,jcb,4,2023,76 Dexter Court, ,Sterling,VA,20167
10,10,3.57E+15,jcb,12,2022,67 American Way, ,Oklahoma City,OK,73173
11,11,3.56E+15,jcb,6,2024,1 Troy Court, ,Brooklyn,NY,11210
12,12,6.76E+17,maestro,10,2030,75 Brentwood Plaza, ,Lansing,MI,48912
13,13,3.05E+13,diners-club-carte-blanche,4,2030,38057 Veith Point, ,Richmond,VA,23289
14,14,6.76E+18,maestro,4,2027,43 Harper Circle, ,Saint Louis,MO,63196
15,15,2.01E+14,diners-club-enroute,3,2026,5 Clemons Parkway, ,Colorado Springs,CO,80935
16,16,3.57E+15,jcb,7,2020,652 Eagan Park, ,Lynchburg,VA,24515
17,17,3.56E+15,jcb,7,2025,9 Buhler Terrace, ,Aiken,SC,29805
18,18,5.38E+15,mastercard,7,2030,93919 Park Meadow Center, ,Albuquerque,NM,87180
19,19,3.55E+15,jcb,2,2027,65 Declaration Drive, ,New York City,NY,10160
20,20,3.56E+15,jcb,11,2022,642 Schmedeman Park, ,New York City,NY,10155
21,21,3.67E+13,diners-club-international,10,2020,4 Schlimgen Drive, ,Portland,OR,97296
22,22,6.05E+17,maestro,10,2027,07 Cascade Place, ,Philadelphia,PA,19178
23,23,5.60E+15,bankcard,10,2029,9663 Havey Park, ,San Francisco,CA,94169
24,24,3.56E+15,jcb,1,2022,06 Valley Edge Place, ,Seattle,WA,98121
25,25,5.43E+15,mastercard,10,2030,7 Marcy Point, ,Salt Lake City,UT,84170
26,26,3.01E+13,diners-club-carte-blanche,4,2022,3697 Mallory Court, ,Columbia,SC,29208
27,27,3.58E+15,jcb,5,2027,372 Hooker Place, ,Charlotte,NC,28247
28,28,3.53E+15,jcb,3,2024,3976 Hallows Point, ,Columbus,OH,43215
29,29,6.76E+16,maestro,10,2020,63 Lighthouse Bay Park, ,Minneapolis,MN,55446
30,30,4.02E+15,visa,11,2020,78 Myrtle Alley, ,Prescott,AZ,86305
31,31,3.58E+15,jcb,1,2023,19991 Rigney Avenue, ,Birmingham,AL,35285
32,32,5.10E+15,mastercard,3,2029,7 Holmberg Street, ,Corpus Christi,TX,78470
33,33,5.47E+15,diners-club-us-ca,8,2024,51 International Avenue, ,Modesto,CA,95354
34,34,5.10E+15,mastercard,2,2021,4345 Hansons Point, ,Springfield,MA,1105
35,35,3.44E+14,americanexpress,8,2027,5725 Armistice Avenue, ,Chicago,IL,60681
36,36,5.04E+16,maestro,5,2029,4 Marcy Road, ,Arlington,TX,76096
37,37,3.55E+15,jcb,9,2022,19 Village Point, ,Vero Beach,FL,32969
38,38,5.02E+15,maestro,7,2020,7968 Menomonie Alley, ,Plano,TX,75074
39,39,5.61E+15,china-unionpay,8,2026,8 Steensland Junction, ,Irvine,CA,92612
40,40,4.91E+15,switch,2,2027,5462 Dakota Drive, ,Anchorage,AK,99507
41,41,3.55E+15,jcb,3,2021,62452 Little Fleur Circle, ,Des Moines,IA,50315
42,42,3.59E+15,jcb,12,2022,53574 Boyd Crossing, ,Watertown,MA,2472
43,43,5.56E+15,mastercard,4,2025,9364 Scofield Place, ,Philadelphia,PA,19109
44,44,4.84E+15,visa-electron,6,2020,68464 Eastlawn Park, ,Palo Alto,CA,94302
45,45,5.60E+15,china-unionpay,9,2029,9088 Raven Hill, ,Shawnee Mission,KS,66215
46,46,3.55E+15,jcb,7,2027,26819 Kim Parkway, ,Cincinnati,OH,45296
47,47,3.59E+15,jcb,7,2027,039 Arkansas Place, ,New York City,NY,10125
48,48,3.57E+15,jcb,2,2021,0 Lawn Lane, ,Austin,TX,78749
49,49,4.92E+15,visa-electron,4,2023,33 Carey Road, ,Jacksonville,FL,32204
50,50,6.30E+16,maestro,10,2026,95763 Hauk Plaza, ,Cincinnati,OH,45271
51,51,5.64E+18,switch,12,2024,51 Southridge Terrace, ,Portland,OR,97229
52,52,3.55E+15,jcb,8,2027,7287 Shoshone Street, ,Tulsa,OK,74170
53,53,3.71E+14,americanexpress,12,2024,58915 Pearson Trail, ,Cincinnati,OH,45223
54,54,3.55E+15,jcb,1,2021,700 Buell Parkway, ,Texarkana,TX,75507
55,55,3.56E+15,jcb,4,2022,05726 Jana Lane, ,Tallahassee,FL,32399
56,56,3.58E+15,jcb,3,2022,00 Center Plaza, ,Boston,MA,2203
57,57,3.56E+15,jcb,5,2030,5 Fallview Hill, ,Des Moines,IA,50347
58,58,5.60E+15,china-unionpay,7,2026,79158 Summit Point, ,Anchorage,AK,99517
59,59,5.01E+15,mastercard,2,2030,344 Haas Circle, ,Oklahoma City,OK,73142
60,60,5.10E+15,mastercard,7,2028,75 High Crossing Parkway, ,Washington,DC,20337
61,61,6.76E+18,maestro,1,2020,4 Killdeer Road, ,Dallas,TX,75277
62,62,3.69E+13,diners-club-international,12,2027,1309 Monica Street, ,Sioux Falls,SD,57110
63,63,3.55E+15,jcb,9,2025,19 Victoria Circle, ,San Luis Obispo,CA,93407
64,64,3.56E+15,jcb,6,2030,95506 Harper Park, ,Norwalk,CT,6854
65,65,3.00E+13,diners-club-carte-blanche,4,2029,5893 Sauthoff Way, ,Richmond,VA,23272
66,66,2.02E+14,diners-club-enroute,10,2021,8314 Artisan Park, ,Roanoke,VA,24048
67,67,3.02E+13,diners-club-carte-blanche,11,2026,924 Heath Lane, ,San Bernardino,CA,92415
68,68,4.18E+15,visa-electron,4,2024,55953 Buell Alley, ,Bonita Springs,FL,34135
69,69,5.10E+15,mastercard,1,2026,8 Killdeer Pass, ,Saint Paul,MN,55146
70,70,5.01E+15,mastercard,6,2029,7 Maryland Street, ,Arlington,TX,76011
71,71,3.55E+15,jcb,10,2028,9822 Mallard Alley, ,El Paso,TX,88589
72,72,6.77E+15,solo,7,2023,061 Rutledge Road, ,Oakland,CA,94627
73,73,3.56E+15,jcb,11,2030,2 Melrose Court, ,Fort Pierce,FL,34981
74,74,4.91E+17,switch,2,2028,754 Walton Terrace, ,Sunnyvale,CA,94089
75,75,4.04E+15,visa,5,2021,5316 Myrtle Junction, ,New Orleans,LA,70187
76,76,3.55E+15,jcb,2,2026,2 Hudson Road, ,Galveston,TX,77554
77,77,3.54E+15,jcb,6,2027,77 Bartillon Center, ,Saint Cloud,MN,56398
78,78,3.57E+15,jcb,12,2021,2 Gerald Point, ,Orange,CA,92668
79,79,3.03E+13,diners-club-carte-blanche,8,2029,598 Graceland Point, ,Gainesville,FL,32610
80,80,3.58E+15,jcb,9,2025,02549 Vera Alley, ,Palatine,IL,60078
81,81,5.60E+18,china-unionpay,1,2023,9 Dunning Pass, ,Garland,TX,75044
82,82,5.00E+15,mastercard,6,2026,38788 South Alley, ,Oklahoma City,OK,73104
83,83,2.02E+14,diners-club-enroute,6,2020,19 Fairfield Street, ,Miami,FL,33233
84,84,5.64E+15,switch,1,2022,15429 Westend Circle, ,Denton,TX,76205
85,85,3.55E+15,jcb,6,2023,1 Magdeline Alley, ,Minneapolis,MN,55428
86,86,3.54E+15,jcb,6,2026,24 Loeprich Road, ,Jackson,MS,39236
87,87,3.57E+15,jcb,4,2022,74 High Crossing Place, ,Richmond,VA,23242
88,88,5.61E+15,bankcard,6,2029,0342 Birchwood Avenue, ,San Jose,CA,95160
89,89,5.10E+15,mastercard,10,2030,40 Gerald Hill, ,Boise,ID,83711
90,90,2.02E+14,diners-club-enroute,2,2025,99780 Linden Alley, ,Oklahoma City,OK,73114
91,91,3.59E+15,jcb,6,2026,5115 Warbler Court, ,Tallahassee,FL,32304
92,92,3.58E+15,jcb,1,2021,0555 Del Mar Lane, ,Jackson,MS,39296
93,93,3.59E+15,jcb,10,2022,8 Kenwood Hill, ,Santa Barbara,CA,93106
94,94,3.01E+13,diners-club-carte-blanche,11,2026,2 Emmet Court, ,Mesa,AZ,85215
95,95,4.04E+12,visa,12,2023,4342 Shelley Terrace, ,Tampa,FL,33661
